x,y,z
-1.350974534903489066e-01,-1.115393551418612517e-01,-1.278633940882225317e-01
-1.322633732751520852e-01,-1.115142744925198826e-01,-1.287446568853461148e-01
-1.298872225979393336e-01,-1.112062623246065640e-01,-1.294870682797005235e-01
-1.285247285784760218e-01,-1.104711125913739322e-01,-1.298233423361561945e-01
-1.257862617218722945e-01,-1.101627958224211112e-01,-1.305916516540132633e-01
-1.231843784829749905e-01,-1.098994082954049545e-01,-1.313361231277759555e-01
-1.218129812461081346e-01,-1.091385027847504019e-01,-1.317293855157637139e-01
-1.191755625039602889e-01,-1.088095239323160768e-01,-1.324774977228266870e-01
-1.165764655730847227e-01,-1.084368481850476740e-01,-1.332656436228786545e-01
-1.152405716285184872e-01,-1.077534348005375064e-01,-1.335471470159238228e-01
-1.126133172214663497e-01,-1.074630265679176744e-01,-1.343426778453332970e-01
-1.099494280940818830e-01,-1.068718838963773066e-01,-1.352228539856202560e-01
-1.076291010370377804e-01,-1.064113192609780767e-01,-1.358281355657172951e-01
-1.055850100653748652e-01,-1.057009656088191973e-01,-1.364208639936434209e-01
-1.031915372513348556e-01,-1.048936254151175418e-01,-1.372282228620172739e-01
-1.009246913400835971e-01,-1.042122448767316967e-01,-1.377422236793782451e-01
-9.876223611046348883e-02,-1.033154253981915516e-01,-1.382873826732529399e-01
-9.677631070544252812e-02,-1.023012609149826502e-01,-1.387613950381177130e-01
-9.460025443367754694e-02,-1.013007961034277371e-01,-1.393515311901739884e-01
-9.264937775867905512e-02,-1.003728332854007532e-01,-1.398100970745277116e-01
-9.058209334051876838e-02,-9.896675118752445988e-02,-1.403530411163759761e-01
-8.860688661515910003e-02,-9.789183733643008756e-02,-1.406481569554649258e-01
-8.667002611208425578e-02,-9.668235841326028313e-02,-1.410239687712971368e-01
-8.484145685568240947e-02,-9.531386024121418776e-02,-1.414865719810101397e-01
-8.301769957984080073e-02,-9.398077134685584033e-02,-1.417308130293167545e-01
-8.135069559677961248e-02,-9.263139979448625771e-02,-1.421098403239202390e-01
-7.970871202056280247e-02,-9.136751799986692069e-02,-1.424834665194503469e-01
-7.793852933554785978e-02,-9.005383233983449420e-02,-1.427157592902731087e-01
-7.621154636962430839e-02,-8.855209966962712675e-02,-1.431021801844119257e-01
-7.456975615433387994e-02,-8.715659519723478743e-02,-1.433202786234301918e-01
-7.290405544507246038e-02,-8.553575180217970475e-02,-1.437077737565703173e-01
-7.144850391244379761e-02,-8.396235791468592558e-02,-1.439861616001868738e-01
-6.999295553616564913e-02,-8.239041454848988755e-02,-1.441185259649057915e-01
-6.844237999718201515e-02,-8.053885208182437472e-02,-1.444411532929603947e-01
-6.703438770405163727e-02,-7.881873404399625249e-02,-1.446281002481227262e-01
-6.570782073080268237e-02,-7.683810619423953048e-02,-1.448863666699230224e-01
-6.432930179757419265e-02,-7.492438564794573486e-02,-1.451932433109298926e-01
-6.328987786462920984e-02,-7.280378951989513459e-02,-1.452658793308506113e-01
-6.203644515552526884e-02,-7.083246337392606895e-02,-1.454039908516721880e-01
-6.110556376194638262e-02,-6.886269876343836804e-02,-1.453400828652379462e-01
-5.999581185552212148e-02,-6.682119172244233019e-02,-1.454774716860963157e-01
-5.913643919402529481e-02,-6.498358813103249920e-02,-1.454068139675065430e-01
-5.810051204314199691e-02,-6.286596167572428007e-02,-1.455371825597188973e-01
-5.726468110864064986e-02,-6.092960880197034745e-02,-1.454823935740467422e-01
-5.642751746906300714e-02,-5.873541722050829028e-02,-1.454461410018037248e-01
-5.552580830309790383e-02,-5.665228261393812081e-02,-1.455310091364070135e-01
-5.453065925479490261e-02,-5.446621050022842914e-02,-1.454796832301829268e-01
-5.387614655146540088e-02,-5.215433699931620870e-02,-1.454496417713057876e-01
-5.324521916057585458e-02,-4.997884749148079342e-02,-1.454776386877842664e-01
-5.277147766667074358e-02,-4.772070286109281190e-02,-1.453268103525041377e-01
-5.218090201720422538e-02,-4.545068633883259102e-02,-1.452542861659548712e-01
-5.187400224072098720e-02,-4.299560104324035015e-02,-1.450645584054248149e-01
-5.124195313003505892e-02,-4.076104228481186587e-02,-1.448309593935958872e-01
-5.135000831290843781e-02,-3.810037650751846305e-02,-1.447138737509440221e-01
-5.094169259943344408e-02,-3.577334984082541913e-02,-1.446655066746324603e-01
-5.092743604342660213e-02,-3.334785257697253646e-02,-1.443556845276294520e-01
-5.062827153026590310e-02,-3.095150847964406315e-02,-1.441806893112894394e-01
-5.063312682911542961e-02,-2.859336960607800071e-02,-1.440156729994218898e-01
-5.059142280470270425e-02,-2.626678580284286246e-02,-1.439261592065468054e-01
-5.053737323972258555e-02,-2.391876103844386980e-02,-1.438050239983510170e-01
-5.056399397383144756e-02,-2.159753617053622454e-02,-1.436113871957718779e-01
-5.066982820846428759e-02,-1.946539290098664443e-02,-1.434334842845922664e-01
-5.087135313965614192e-02,-1.700400422357611907e-02,-1.434146123445900201e-01
-5.109181945867187491e-02,-1.467654695464920556e-02,-1.432846778633383444e-01
-5.124971133081408781e-02,-1.242587040132109300e-02,-1.432652475997500674e-01
-5.139294155128988628e-02,-1.014685059151426705e-02,-1.433475359846381469e-01
-5.179782440944620536e-02,-8.021667155976019981e-03,-1.432597794839112482e-01
-5.186301028503655097e-02,-5.800470892532716416e-03,-1.435160844190662977e-01
-5.238036864346902466e-02,-3.798968904262289836e-03,-1.433568404020091336e-01
-5.280907605110525538e-02,-1.798321271532843380e-03,-1.434521111673019711e-01
-5.333993778373986860e-02,1.053302197054351019e-04,-1.433855443286334297e-01
-5.390165711716650432e-02,2.055710851601999511e-03,-1.434281522233639417e-01
-5.455770743032835324e-02,4.020000849028149137e-03,-1.434302569407567007e-01
-5.518651536570391702e-02,5.965892910325065746e-03,-1.435933472143572087e-01
-5.602360006240932055e-02,7.989451200102470896e-03,-1.436763592137323131e-01
-5.659750351876653707e-02,9.907377866990307869e-03,-1.439147323213352536e-01
-5.737580263575899064e-02,1.185644948046699065e-02,-1.442272007312523641e-01
-5.806370987399518679e-02,1.373594812834882939e-02,-1.446240768651107234e-01
-5.890927307419920045e-02,1.549265098174507083e-02,-1.450103527401619130e-01
-5.958434524373963648e-02,1.727129273426714073e-02,-1.456371079991447548e-01
-6.043169012392309025e-02,1.881758433596752988e-02,-1.461550379209794748e-01
-6.127952676965482681e-02,2.032902013923904017e-02,-1.466992139483630775e-01
-6.228001521214605873e-02,2.198372656997010788e-02,-1.472957606768241778e-01
-6.318463370572631466e-02,2.339325285910393015e-02,-1.479215104392276880e-01
-6.413362560830722370e-02,2.472097624972852126e-02,-1.486011540256396701e-01
-6.514765393167860907e-02,2.603519572478601996e-02,-1.492821621932816090e-01
-6.640743630274521803e-02,2.725115557742446848e-02,-1.497984158521832310e-01
-6.769555877174278369e-02,2.835426199790630486e-02,-1.502567191019868187e-01
-6.891862418730006212e-02,2.964257968308020574e-02,-1.508949160089189945e-01
-7.006004510616432868e-02,3.085061497814406417e-02,-1.515661115737272913e-01
-7.134704662909592543e-02,3.194784524160715344e-02,-1.521949288664714295e-01
-7.280797697887504694e-02,3.301511080143898491e-02,-1.526975892843604188e-01
