x,y,z
-1.271314520238055468e-01,-1.058255741185479964e-01,-1.014038757025232107e-01
-1.258796652727000587e-01,-1.059373369359540989e-01,-1.009058536131283990e-01
-1.246389935206097671e-01,-1.060632353591243332e-01,-1.003285851408053098e-01
-1.235576735285508071e-01,-1.062034488114850378e-01,-9.980310361060756863e-02
-1.222338506756607962e-01,-1.062962555100112200e-01,-9.925932311305668554e-02
-1.211166509763727667e-01,-1.063027766191892015e-01,-9.868366044165866047e-02
-1.199323895715837668e-01,-1.062467626480113753e-01,-9.815320273572988863e-02
-1.188080455553568032e-01,-1.061518004476992433e-01,-9.752141142148812447e-02
-1.176483953675539623e-01,-1.061104291072444555e-01,-9.695979842528446024e-02
-1.165888232057190194e-01,-1.059647893715188888e-01,-9.636767232978299402e-02
-1.155674196045270580e-01,-1.057912313309680302e-01,-9.570758427045999994e-02
-1.144783852300192556e-01,-1.056572582898217677e-01,-9.508976073884162217e-02
-1.135842668942394634e-01,-1.054813202867656147e-01,-9.429401314568339187e-02
-1.125365835028346445e-01,-1.052637005238738072e-01,-9.360990678166963841e-02
-1.115322612475992542e-01,-1.051469021002343768e-01,-9.302845825074190778e-02
-1.107176073550650425e-01,-1.050582410156572083e-01,-9.243150466206329074e-02
-1.096105153659280990e-01,-1.050167407829650928e-01,-9.191494655103593647e-02
-1.084417347594983233e-01,-1.050383189448703819e-01,-9.146482585571930057e-02
-1.071306125432591322e-01,-1.050014305941559117e-01,-9.116620675921380257e-02
-1.059574320195455083e-01,-1.049914394196246464e-01,-9.093638069100920540e-02
-1.047937595215346490e-01,-1.049798846874322594e-01,-9.060804757244814156e-02
-1.036593230676916139e-01,-1.049156473820630625e-01,-9.023325564851195080e-02
-1.027452391242038160e-01,-1.048205102807328176e-01,-8.973094967235739627e-02
-1.016417045123502866e-01,-1.047104225467462429e-01,-8.934667064276191617e-02
-1.006857758093211014e-01,-1.046410244370047510e-01,-8.889563186634569236e-02
-9.987825188632633300e-02,-1.046495034888147574e-01,-8.833391564857240308e-02
-9.897503380616119728e-02,-1.045931403713197400e-01,-8.779790971202869332e-02
-9.798994739833939704e-02,-1.045370054432041146e-01,-8.726678632945122915e-02
-9.704796038045034046e-02,-1.043372678953072979e-01,-8.669894230466856921e-02
-9.621431571962242579e-02,-1.041202032535041427e-01,-8.627686290167252414e-02
-9.522902090837988276e-02,-1.040278833879154791e-01,-8.588040320089515567e-02
-9.444653302373358372e-02,-1.039241370793199254e-01,-8.539818605524696071e-02
-9.351573173057432797e-02,-1.037936991540776704e-01,-8.498739394892171339e-02
-9.266826891523223531e-02,-1.035292108141771111e-01,-8.463450316781551130e-02
-9.172187682876505044e-02,-1.031262975248642549e-01,-8.434596586085690850e-02
-9.073401127978027170e-02,-1.026859911647161200e-01,-8.405748041039462493e-02
-8.979610719213400316e-02,-1.022542631184689826e-01,-8.373879384751475863e-02
-8.886219785507849800e-02,-1.017179864136691508e-01,-8.343685608576978385e-02
-8.804882691094580160e-02,-1.012333430306821130e-01,-8.304848194838884701e-02
-8.730248826867166578e-02,-1.007754595105540135e-01,-8.278533398039963909e-02
-8.657255004523918551e-02,-1.002376583331633514e-01,-8.246048122652002710e-02
-8.548827935735410499e-02,-9.957254068221778331e-02,-8.221850620985277081e-02
-8.454444540191836943e-02,-9.893603478217229130e-02,-8.205318942823341954e-02
-8.369404641495932495e-02,-9.828630297673991711e-02,-8.175730245898277238e-02
-8.280733385513912304e-02,-9.770800668424896307e-02,-8.158348588985528393e-02
-8.189786509488690414e-02,-9.703088582377129845e-02,-8.143789011392119082e-02
-8.096037505214388752e-02,-9.633062761236511895e-02,-8.132617818693360645e-02
-7.994243813626784878e-02,-9.548396217671352437e-02,-8.130209688035472393e-02
-7.915763257845771783e-02,-9.465451667083026044e-02,-8.109519595551742399e-02
-7.847351614233573358e-02,-9.394818623575708350e-02,-8.089687957484664738e-02
-7.762710577731631034e-02,-9.321346648151464243e-02,-8.081872409044127403e-02
-7.658777026632086760e-02,-9.232878827723424442e-02,-8.082068147254550805e-02
-7.553676462156806715e-02,-9.132362321427879570e-02,-8.074207552049270098e-02
-7.468932421948988598e-02,-9.044145080073685838e-02,-8.070906864415774984e-02
-7.379964825950731389e-02,-8.958964116845748171e-02,-8.063536934520293409e-02
-7.287692818885145585e-02,-8.883018743567240583e-02,-8.062696889301423919e-02
-7.205555975738038577e-02,-8.818643714744069106e-02,-8.066907895576799770e-02
-7.129556635130281095e-02,-8.739253968228712088e-02,-8.060161711730912115e-02
-7.052496896840017293e-02,-8.656430277979544619e-02,-8.051082865449646353e-02
-6.962844053176193981e-02,-8.569334941211027845e-02,-8.054283392426936361e-02
-6.878189372973593507e-02,-8.457201312762431533e-02,-8.052393411165420511e-02
-6.802556473650218927e-02,-8.361333239943870288e-02,-8.042928930677964439e-02
-6.720306315150810506e-02,-8.276574687463646163e-02,-8.046123380706626804e-02
-6.635188015510103121e-02,-8.184175107227299739e-02,-8.049212954393797359e-02
-6.555187293181137520e-02,-8.084051743859922701e-02,-8.057357428194533711e-02
-6.493243788012743878e-02,-7.984957639570601506e-02,-8.060345127067894411e-02
-6.435567188583619924e-02,-7.899616592945281346e-02,-8.054696347980935811e-02
-6.364477755416771132e-02,-7.818602026986755382e-02,-8.055661108898196088e-02
-6.284363034104885337e-02,-7.731642835657782931e-02,-8.072702713229090721e-02
-6.213973813200897311e-02,-7.641915004060297056e-02,-8.075623069505341589e-02
-6.158959818779648210e-02,-7.551505534572501566e-02,-8.075057985860600862e-02
-6.115438391240708704e-02,-7.459813498653512787e-02,-8.075896550101943627e-02
-6.048885633952490182e-02,-7.378306117812129250e-02,-8.090127154721482583e-02
-5.978166486259058054e-02,-7.300265744047819416e-02,-8.100293475225933681e-02
-5.917567991110024572e-02,-7.217944503977803683e-02,-8.110503683101014105e-02
-5.868015924529763894e-02,-7.140987288196355698e-02,-8.117408975902642987e-02
-5.815057385333873008e-02,-7.044101410111326678e-02,-8.135847356031469801e-02
-5.758124872120724824e-02,-6.957745106094694043e-02,-8.142478242168676994e-02
-5.697583914097999191e-02,-6.875078617312481433e-02,-8.157770826710056267e-02
-5.642396104381149080e-02,-6.799167939683527229e-02,-8.179431001850245853e-02
-5.607408812817356314e-02,-6.726505326117972194e-02,-8.182106855934548340e-02
-5.556522208952348330e-02,-6.646092114923742022e-02,-8.182295769421155107e-02
